# x_nm,F_kJ_per_mol
-1.372244488977955701e+00,8.532461477367414560e+00
-1.365631262525049960e+00,8.306695666387549082e+00
-1.359018036072144220e+00,8.086592566908947788e+00
-1.352404809619238257e+00,7.872057869541905895e+00
-1.345791583166332517e+00,7.662998182481499221e+00
-1.339178356713426776e+00,7.459321044177142035e+00
-1.332565130260520814e+00,7.260934935608243102e+00
-1.325951903807615073e+00,7.067749292157309959e+00
-1.319338677354709333e+00,6.879674515072196961e+00
-1.312725450901803592e+00,6.696621982509489257e+00
-1.306112224448897630e+00,6.518504060151323110e+00
-1.299498997995991889e+00,6.345234111388166731e+00
-1.292885771543086149e+00,6.176726507060436688e+00
-1.286272545090180408e+00,6.012896634752181946e+00
-1.279659318637274446e+00,5.853660907630287902e+00
-1.273046092184368705e+00,5.698936772823048891e+00
-1.266432865731462964e+00,5.548642719332200102e+00
-1.259819639278557002e+00,5.402698285472907536e+00
-1.253206412825651261e+00,5.261024065836537922e+00
-1.246593186372745521e+00,5.123541717771250781e+00
-1.239979959919839558e+00,4.990173967375954867e+00
-1.233366733466933818e+00,4.860844615003438562e+00
-1.226753507014028077e+00,4.735478540268722725e+00
-1.220140280561122115e+00,4.614001706559269778e+00
-1.213527054108216374e+00,4.496341165043806321e+00
-1.206913827655310634e+00,4.382425058176956156e+00
-1.200300601202404671e+00,4.272182622697271448e+00
-1.193687374749498931e+00,4.165544192116543698e+00
-1.187074148296593190e+00,4.062441198698631517e+00
-1.180460921843687228e+00,3.962806174926461367e+00
-1.173847695390781487e+00,3.866572754456151451e+00
-1.167234468937875747e+00,3.773675672557581073e+00
-1.160621242484969784e+00,3.684050766041118585e+00
-1.154008016032064043e+00,3.597634972670568310e+00
-1.147394789579158303e+00,3.514366330062682842e+00
-1.140781563126252340e+00,3.434183974074116463e+00
-1.134168336673346600e+00,3.357028136676843744e+00
-1.127555110220440859e+00,3.282840143323595861e+00
-1.120941883767534897e+00,3.211562409805134077e+00
-1.114328657314629156e+00,3.143138438601569717e+00
-1.107715430861723416e+00,3.077512814730262392e+00
-1.101102204408817453e+00,3.014631201093225243e+00
-1.094488977955911713e+00,2.954440333327296386e+00
-1.087875751503005972e+00,2.896888014160638569e+00
-1.081262525050100010e+00,2.841923107279570537e+00
-1.074649298597194269e+00,2.789495530709991122e+00
-1.068036072144288529e+00,2.739556249718017256e+00
-1.061422845691382566e+00,2.692057269234833239e+00
-1.054809619238476825e+00,2.646951625811038156e+00
-1.048196392785571085e+00,2.604193379106105599e+00
-1.041583166332665122e+00,2.563737602918934044e+00
-1.034969939879759382e+00,2.525540375765759293e+00
-1.028356713426853641e+00,2.489558771012004623e+00
-1.021743486973947679e+00,2.455750846564993317e+00
-1.015130260521041938e+00,2.424075634134734258e+00
-1.008517034068136198e+00,2.394493128070270593e+00
-1.001903807615230235e+00,2.366964273779442962e+00
-9.952905811623246057e-01,2.341450955740137729e+00
-9.886773547094187542e-01,2.317915985111412169e+00
-9.820641282565129027e-01,2.296323086953194093e+00
-9.754509018036071621e-01,2.276636887063454573e+00
-9.688376753507013106e-01,2.258822898442101934e+00
-9.622244488977954591e-01,2.242847507391048101e+00
-9.556112224448897186e-01,2.228677959260174646e+00
-9.489979959919838670e-01,2.216282343849184766e+00
-9.423847695390780155e-01,2.205629580475538365e+00
-9.357715430861722750e-01,2.196689402718933870e+00
-9.291583166332664234e-01,2.189432342852997593e+00
-9.225450901803606829e-01,2.183829715975089680e+00
-9.159318637274548314e-01,2.179853603845315568e+00
-9.093186372745489798e-01,2.177476838446058771e+00
-9.027054108216432393e-01,2.176672985273542249e+00
-8.960921843687373878e-01,2.177416326373101008e+00
-8.894789579158315362e-01,2.179681843130042207e+00
-8.828657314629257957e-01,2.183445198828132039e+00
-8.762525050100199442e-01,2.188682720987915609e+00
-8.696392785571140926e-01,2.195371383497223494e+00
-8.630260521042083521e-01,2.203488788546375421e+00
-8.564128256513025006e-01,2.213013148380713613e+00
-8.497995991983966491e-01,2.223923266883239602e+00
-8.431863727454909085e-01,2.236198521000239303e+00
-8.365731462925850570e-01,2.249818842022892618e+00
-8.299599198396793165e-01,2.264764696737965544e+00
-8.233466933867734650e-01,2.281017068460777786e+00
-8.167334669338676134e-01,2.298557437963704153e+00
-8.101202404809618729e-01,2.317367764313575496e+00
-8.035070140280560214e-01,2.337430465631370691e+00
-7.968937875751501698e-01,2.358728399787664465e+00
-7.902805611222444293e-01,2.381244845047347347e+00
-7.836673346693385778e-01,2.404963480677154486e+00
-7.770541082164327262e-01,2.429868367529571138e+00
-7.704408817635269857e-01,2.455943928616703520e+00
-7.638276553106211342e-01,2.483174929687712584e+00
-7.572144288577153937e-01,2.511546459823387423e+00
-7.506012024048095421e-01,2.541043912061451859e+00
-7.439879759519036906e-01,2.571652964066148073e+00
-7.373747494989979501e-01,2.603359558855635303e+00
-7.307615230460920985e-01,2.636149885600680420e+00
-7.241482965931862470e-01,2.670010360508071834e+00
-7.175350701402805065e-01,2.704927607802148692e+00
-7.109218436873746549e-01,2.740888440817740079e+00
-7.043086172344688034e-01,2.777879843217742284e+00
-6.976953907815630629e-01,2.815888950348488962e+00
-6.910821643286572113e-01,2.854903030745947312e+00
-6.844689378757513598e-01,2.894909467805683256e+00
-6.778557114228456193e-01,2.935895741629430233e+00
-6.712424849699397678e-01,2.977849411060961682e+00
-6.646292585170340272e-01,3.020758095923811837e+00
-6.580160320641281757e-01,3.064609459473324193e+00
-6.514028056112223242e-01,3.109391191075248528e+00
-6.447895791583164726e-01,3.155090989123052303e+00
-6.381763527054107321e-01,3.201696544205875128e+00
-6.315631262525049916e-01,3.249195522538913750e+00
-6.249498997995990290e-01,3.297575549667825179e+00
-6.183366733466932885e-01,3.346824194458543289e+00
-6.117234468937875480e-01,3.396928953383750560e+00
-6.051102204408815854e-01,3.447877235116941996e+00
-5.984969939879758449e-01,3.499656345444893013e+00
-5.918837675350701044e-01,3.552253472509108612e+00
-5.852705410821641419e-01,3.605655672386529176e+00
-5.786573146292584013e-01,3.659849855019621678e+00
-5.720440881763526608e-01,3.714822770505697314e+00
-5.654308617234466983e-01,3.770560995755032785e+00
-5.588176352705409577e-01,3.827050921527125560e+00
-5.522044088176352172e-01,3.884278739854210016e+00
-5.455911823647294767e-01,3.942230431860741291e+00
-5.389779559118235142e-01,4.000891755987466603e+00
-5.323647294589177736e-01,4.060248236628234864e+00
-5.257515030060120331e-01,4.120285153187578153e+00
-5.191382765531060706e-01,4.180987529566662531e+00
-5.125250501002003300e-01,4.242340124084978292e+00
-5.059118236472945895e-01,4.304327419844846681e+00
-4.992985971943886270e-01,4.366933615545460334e+00
-4.926853707414828865e-01,4.430142616752870133e+00
-4.860721442885771459e-01,4.493938027632086829e+00
-4.794589178356711834e-01,4.558303143147021785e+00
-4.728456913827654429e-01,4.623220941733724665e+00
-4.662324649298597024e-01,4.688674078452122806e+00
-4.596192384769537398e-01,4.754644878620954529e+00
-4.530060120240479993e-01,4.821115331940386994e+00
-4.463927855711422588e-01,4.888067087106488628e+00
-4.397795591182362962e-01,4.955481446921218058e+00
-4.331663326653305557e-01,5.023339363901434318e+00
-4.265531062124248152e-01,5.091621436389982769e+00
-4.199398797595188526e-01,5.160307905171535481e+00
-4.133266533066131121e-01,5.229378650595616129e+00
-4.067134268537073716e-01,5.298813190208789159e+00
-4.001002004008014090e-01,5.368590676897657232e+00
-3.934869739478956685e-01,5.438689897543999230e+00
-3.868737474949899280e-01,5.509089272192968956e+00
-3.802605210420839654e-01,5.579766853734946963e+00
-3.736472945891782249e-01,5.650700328101241787e+00
-3.670340681362724844e-01,5.721867014973559762e+00
-3.604208416833667439e-01,5.793243869006674984e+00
-3.538076152304607813e-01,5.864807481563509839e+00
-3.471943887775550408e-01,5.936534082961355985e+00
-3.405811623246493003e-01,6.008399545227721461e+00
-3.339679358717433377e-01,6.080379385363818834e+00
-3.273547094188375972e-01,6.152448769113443738e+00
-3.207414829659318567e-01,6.224582515234615698e+00
-3.141282565130258941e-01,6.296755100270956085e+00
-3.075150300601201536e-01,6.368940663819487646e+00
-3.009018036072144131e-01,6.441113014291181216e+00
-2.942885771543084505e-01,6.513245635160200386e+00
-2.876753507014027100e-01,6.585311691697456560e+00
-2.810621242484969695e-01,6.657284038183807873e+00
-2.744488977955910070e-01,6.729135225597821623e+00
-2.678356713426852664e-01,6.800837509772706291e+00
-2.612224448897795259e-01,6.872362860016772323e+00
-2.546092184368735634e-01,6.943682968191303040e+00
-2.479959919839678228e-01,7.014769258239534011e+00
-2.413827655310620823e-01,7.085592896160098242e+00
-2.347695390781561198e-01,7.156124800417883236e+00
-2.281563126252503793e-01,7.226335652785067509e+00
-2.215430861723446387e-01,7.296195909604770158e+00
-2.149298597194386762e-01,7.365675813469366950e+00
-2.083166332665329357e-01,7.434745405305346111e+00
-2.017034068136271951e-01,7.503374536856261656e+00
-1.950901803607214546e-01,7.571532883554993987e+00
-1.884769539078154921e-01,7.639189957776377327e+00
-1.818637274549097516e-01,7.706315122460845934e+00
-1.752505010020040110e-01,7.772877605099662190e+00
-1.686372745490980485e-01,7.838846512071834916e+00
-1.620240480961923080e-01,7.904190843322782101e+00
-1.554108216432865675e-01,7.968879507374418303e+00
-1.487975951903806049e-01,8.032881336656190641e+00
-1.421843687374748644e-01,8.096165103146299558e+00
-1.355711422845691239e-01,8.158699534312217949e+00
-1.289579158316631613e-01,8.220453329339301618e+00
-1.223446893787574208e-01,8.281395175636143691e+00
-1.157314629258516803e-01,8.341493765605173749e+00
-1.091182364729457177e-01,8.400717813666689793e+00
-1.025050100200399772e-01,8.459036073524467625e+00
-9.589178356713423668e-02,8.516417355660863109e+00
-8.927855711422827412e-02,8.572830545049116679e+00
-8.266533066132253360e-02,8.628244619070535748e+00
-7.605210420841679309e-02,8.682628665623962405e+00
-6.943887775551083053e-02,8.735951901414896525e+00
-6.282565130260509001e-02,8.788183690411431215e+00
-5.621242484969934949e-02,8.839293562454134445e+00
-4.959919839679338693e-02,8.889251232006829540e+00
-4.298597194388764642e-02,8.938026617035147225e+00
-3.637274549098190590e-02,8.985589857999661589e+00
-2.975951903807616539e-02,9.031911336950305014e+00
-2.314629258517020283e-02,9.076961696708711003e+00
-1.653306613226446231e-02,9.120711860125044979e+00
-9.919839679358721796e-03,9.163133049395876029e+00
-3.306613226452759235e-03,9.204196805429546657e+00
3.306613226452981280e-03,9.243875007245502928e+00
9.919839679358721796e-03,9.282139891394026066e+00
1.653306613226468436e-02,9.318964071382726644e+00
2.314629258517042487e-02,9.354320557096272637e+00
2.975951903807616539e-02,9.388182774195723113e+00
3.637274549098212795e-02,9.420524583483905090e+00
4.298597194388786846e-02,9.451320300223256865e+00
4.959919839679360898e-02,9.480544713392699663e+00
5.621242484969957154e-02,9.508173104869952041e+00
6.282565130260531205e-02,9.534181268525950159e+00
6.943887775551105257e-02,9.558545529217990833e+00
7.605210420841701513e-02,9.581242761668271157e+00
8.266533066132275565e-02,9.602250409214690308e+00
8.927855711422849616e-02,9.621546502420706304e+00
9.589178356713445872e-02,9.639109677531285669e+00
1.025050100200401992e-01,9.654919194762026535e+00
1.091182364729459398e-01,9.668954956408621015e+00
1.157314629258519023e-01,9.681197524764037610e+00
1.223446893787576428e-01,9.691628139830838151e+00
1.289579158316633833e-01,9.700228736816258746e+00
1.355711422845691239e-01,9.706981963397831592e+00
1.421843687374750864e-01,9.711871196747429380e+00
1.487975951903808269e-01,9.714880560301832446e+00
1.554108216432865675e-01,9.715994940268114277e+00
1.620240480961925300e-01,9.715200001852235090e+00
1.686372745490982705e-01,9.712482205199563623e+00
1.752505010020040110e-01,9.707828821036102340e+00
1.818637274549099736e-01,9.701227945999519875e+00
1.884769539078157141e-01,9.692668517649243753e+00
1.950901803607214546e-01,9.682140329145102697e+00
2.017034068136274172e-01,9.669634043584286687e+00
2.083166332665331577e-01,9.655141207986522645e+00
2.149298597194388982e-01,9.638654266917765057e+00
2.215430861723448608e-01,9.620166575742793214e+00
2.281563126252506013e-01,9.599672413497499335e+00
2.347695390781563418e-01,9.577166995371813485e+00
2.413827655310623044e-01,9.552646484794570014e+00
2.479959919839680449e-01,9.526108005111845856e+00
2.546092184368737854e-01,9.497549650850569236e+00
2.612224448897797480e-01,9.466970498559581060e+00
2.678356713426854885e-01,9.434370617220503519e+00
2.744488977955912290e-01,9.399751078221155964e+00
2.810621242484971916e-01,9.363113964884542284e+00
2.876753507014029321e-01,9.324462381546751999e+00
2.942885771543086726e-01,9.283800462177374868e+00
3.009018036072144131e-01,9.241133378536458665e+00
3.075150300601203757e-01,9.196467347862279595e+00
3.141282565130261162e-01,9.149809640084514584e+00
3.207414829659318567e-01,9.101168584557822072e+00
3.273547094188378193e-01,9.050553576311070714e+00
3.339679358717435598e-01,8.997975081807895847e+00
3.405811623246493003e-01,8.943444644214485706e+00
3.471943887775552628e-01,8.886974888170975362e+00
3.538076152304610034e-01,8.828579524063082218e+00
3.604208416833669659e-01,8.768273351790970338e+00
3.670340681362724844e-01,8.706072264032773234e+00
3.736472945891784470e-01,8.641993249000389454e+00
3.802605210420844095e-01,8.576054392685760419e+00
3.868737474949899280e-01,8.508274880595905643e+00
3.934869739478958905e-01,8.438674998975615793e+00
4.001002004008018531e-01,8.367276135516915403e+00
4.067134268537073716e-01,8.294100779554774761e+00
4.133266533066133341e-01,8.219172521748934201e+00
4.199398797595192967e-01,8.142516053252139230e+00
4.265531062124248152e-01,8.064157164365257202e+00
4.331663326653307777e-01,7.984122742680264118e+00
4.397795591182367403e-01,7.902440770712467533e+00
4.463927855711422588e-01,7.819140323023500372e+00
4.530060120240482213e-01,7.734251562837171079e+00
4.596192384769541839e-01,7.647805738150561083e+00
4.662324649298597024e-01,7.559835177343017243e+00
4.728456913827656649e-01,7.470373284286151438e+00
4.794589178356716275e-01,7.379454532958305002e+00
4.860721442885771459e-01,7.287114461567179902e+00
4.926853707414831085e-01,7.193389666184760500e+00
4.992985971943890711e-01,7.098317793899052042e+00
5.059118236472945895e-01,7.001937535487331665e+00
5.125250501002005521e-01,6.904288617616072266e+00
5.191382765531065147e-01,6.805411794573052120e+00
5.257515030060120331e-01,6.705348839537353278e+00
5.323647294589179957e-01,6.604142535393370927e+00
5.389779559118239582e-01,6.501836665095351186e+00
5.455911823647294767e-01,6.398476001589076922e+00
5.522044088176354393e-01,6.294106297297796360e+00
5.588176352705409577e-01,6.188774273179828533e+00
5.654308617234469203e-01,6.082527607365356026e+00
5.720440881763528829e-01,5.975414923380505172e+00
5.786573146292584013e-01,5.867485777966853888e+00
5.852705410821643639e-01,5.758790648504880316e+00
5.918837675350703265e-01,5.649380920050289134e+00
5.984969939879758449e-01,5.539308871992106198e+00
6.051102204408818075e-01,5.428627664341971304e+00
6.117234468937877701e-01,5.317391323664271141e+00
6.183366733466932885e-01,5.205654728656832653e+00
6.249498997995992511e-01,5.093473595392339348e+00
6.315631262525052136e-01,4.980904462230843599e+00
6.381763527054107321e-01,4.868004674413824340e+00
6.447895791583166947e-01,4.754832368350616179e+00
6.514028056112226572e-01,4.641446455608279287e+00
6.580160320641281757e-01,4.527906606615982099e+00
6.646292585170341383e-01,4.414273234095365872e+00
6.712424849699401008e-01,4.300607476228532455e+00
6.778557114228456193e-01,4.186971179575345481e+00
6.844689378757515819e-01,4.073426881752002515e+00
6.910821643286575444e-01,3.960037793883117274e+00
6.976953907815630629e-01,3.846867782839436423e+00
7.043086172344690254e-01,3.733981353273680526e+00
7.109218436873749880e-01,3.621443629467147041e+00
7.175350701402805065e-01,3.509320336999675050e+00
7.241482965931864690e-01,3.397677784255797917e+00
7.307615230460924316e-01,3.286582843780172958e+00
7.373747494989979501e-01,3.176102933495131175e+00
7.439879759519039126e-01,3.066305997793593363e+00
7.506012024048098752e-01,2.957260488520642383e+00
7.572144288577153937e-01,2.849035345856919754e+00
7.638276553106213562e-01,2.741699979117289132e+00
7.704408817635273188e-01,2.635324247478282977e+00
7.770541082164328373e-01,2.529978440647661753e+00
7.836673346693387998e-01,2.425733259489698757e+00
7.902805611222447624e-01,2.322659796619799266e+00
7.968937875751502808e-01,2.220829516981909890e+00
8.035070140280562434e-01,2.120314238422370323e+00
8.101202404809622060e-01,2.021186112273858804e+00
8.167334669338677244e-01,1.923517603962902944e+00
8.233466933867736870e-01,1.827381473654575483e+00
8.299599198396796496e-01,1.732850756947985627e+00
8.365731462925851680e-01,1.639998745635952160e+00
8.431863727454911306e-01,1.548898968542379295e+00
8.497995991983970931e-01,1.459625172450801589e+00
8.564128256513026116e-01,1.372251303137332457e+00
8.630260521042085742e-01,1.286851486521333854e+00
8.696392785571145367e-01,1.203500009947066518e+00
8.762525050100200552e-01,1.122271303609295501e+00
8.828657314629260178e-01,1.043239922135907882e+00
8.894789579158319803e-01,9.664805263404842028e-01
8.960921843687374988e-01,8.920678651574804885e-01
9.027054108216434614e-01,8.200767577727244850e-01
9.093186372745489798e-01,7.505820759617656268e-01
9.159318637274549424e-01,6.836587266483272751e-01
9.225450901803609050e-01,6.193816346951979135e-01
9.291583166332664234e-01,5.578257259394898693e-01
9.357715430861723860e-01,4.990659104841876914e-01
9.423847695390783485e-01,4.431770662577058095e-01
9.489979959919838670e-01,3.902340228528904387e-01
9.556112224448898296e-01,3.403115456568104324e-01
9.622244488977957921e-01,2.934843202824711783e-01
9.688376753507013106e-01,2.498269373132832039e-01
9.754509018036072732e-01,2.094138773709917078e-01
9.820641282565132357e-01,1.723194965175431914e-01
9.886773547094187542e-01,1.386180120010436223e-01
9.952905811623247168e-01,1.083834883558199014e-01
1.001903807615230679e+00,8.168982386632195336e-02
1.008517034068136198e+00,5.861073740429834089e-02
1.015130260521042160e+00,3.921975564847945961e-02
1.021743486973948123e+00,2.359020069571982070e-02
1.028356713426853641e+00,1.179517807224339521e-02
1.034969939879759604e+00,3.907565153393521840e-03
1.041583166332665567e+00,0.000000000000000000e+00
1.048196392785571085e+00,1.448706191529147702e-04
1.054809619238477048e+00,4.414304656916501202e-03
1.061422845691383010e+00,1.288015953018617488e-02
1.068036072144288529e+00,2.561401300459142938e-02
1.074649298597194491e+00,4.268715422505064971e-02
1.081262525050100454e+00,6.417057520523572478e-02
1.087875751503005972e+00,9.013496278190902267e-02
1.094488977955911935e+00,1.206506910397824317e-01
1.101102204408817897e+00,1.557878142121478238e-01
1.107715430861723416e+00,1.956160600623073620e-01
1.114328657314629378e+00,2.402048237503995320e-01
1.120941883767535341e+00,2.896231621899056918e-01
1.127555110220440859e+00,3.439397888978110718e-01
1.134168336673346822e+00,4.032230693420213452e-01
1.140781563126252784e+00,4.675410167892531943e-01
1.147394789579158303e+00,5.369612886563527310e-01
1.154008016032064265e+00,6.115511833675871811e-01
1.160621242484970228e+00,6.913776377200474554e-01
1.167234468937875747e+00,7.765072247590980581e-01
1.173847695390781709e+00,8.670061521653193992e-01
1.180460921843687672e+00,9.629402611540165413e-01
1.187074148296593190e+00,1.064375025888161685e+00
1.193687374749499153e+00,1.171375553405148207e+00
1.200300601202405115e+00,1.284006584057322486e+00
1.206913827655310634e+00,1.402332492466127567e+00
1.213527054108216596e+00,1.526417288989124543e+00
1.220140280561122559e+00,1.656324621698772814e+00
1.226753507014028077e+00,1.792117778871774592e+00
1.233366733466934040e+00,1.933859691987110274e+00
1.239979959919839558e+00,2.081612939230635728e+00
1.246593186372745521e+00,2.235439749503970397e+00
1.253206412825651483e+00,2.395402006934611805e+00
1.259819639278557002e+00,2.561561255884368116e+00
1.266432865731462964e+00,2.733978706452480090e+00
1.273046092184368927e+00,2.912715240469524236e+00
1.279659318637274446e+00,3.097831417978051505e+00
1.286272545090180408e+00,3.289387484195369638e+00
1.292885771543086371e+00,3.487443376953472729e+00
1.299498997995991889e+00,3.692058734611114446e+00
1.306112224448897852e+00,3.903292904432419164e+00
1.312725450901803814e+00,4.121204951425995411e+00
1.319338677354709333e+00,4.345853667638658102e+00
1.325951903807615295e+00,4.577297581897107115e+00
1.332565130260521258e+00,4.815594969990620200e+00
1.339178356713426776e+00,5.060803865287890169e+00
1.345791583166332739e+00,5.312982069780477268e+00
1.352404809619238701e+00,5.572187165544963072e+00
1.359018036072144220e+00,5.838476526616099171e+00
1.365631262525050182e+00,6.111907331262502296e+00
1.372244488977956145e+00,6.392536574656134896e+00
1.378857715430861663e+00,6.680421081927016225e+00
1.385470941883767626e+00,6.975617521593902914e+00
1.392084168336673589e+00,7.278182419361336031e+00
1.398697394789579107e+00,7.588172172273744742e+00
1.405310621242485070e+00,7.905643063216591493e+00
1.411923847695391032e+00,8.230651275754107488e+00
1.418537074148296551e+00,8.563252909293739279e+00
1.425150300601202513e+00,8.903503994566403179e+00
1.431763527054108476e+00,9.251460509411625566e+00
1.438376753507013994e+00,9.607178394856763504e+00
1.444989979959919957e+00,9.970713571479057791e+00
1.451603206412825919e+00,1.034212195603864259e+01
1.458216432865731438e+00,1.072145947837153201e+01
1.464829659318637400e+00,1.110878209853027698e+01
1.471442885771543363e+00,1.150414582416037312e+01
1.478056112224448881e+00,1.190760672810042564e+01
1.484669338677354844e+00,1.231922096619376816e+01
1.491282565130260807e+00,1.273904479529868361e+01
1.497895791583166325e+00,1.316713459148512477e+01
1.504509018036072288e+00,1.360354686840505067e+01
1.511122244488978250e+00,1.404833829582318749e+01
1.517735470941883769e+00,1.450156571829572449e+01
1.524348697394789731e+00,1.496328617398375194e+01
1.530961923847695694e+00,1.543355691358789450e+01
1.537575150300601212e+00,1.591243541939143569e+01
1.544188376753507175e+00,1.639997942439842760e+01
1.550801603206413137e+00,1.689624693155301571e+01
1.557414829659318656e+00,1.740129623302710016e+01
1.564028056112224618e+00,1.791518592956271405e+01
1.570641282565130137e+00,1.843797494985492946e+01
1.577254509018036099e+00,1.896972256996297190e+01
1.583867735470942062e+00,1.951048843273455091e+01
1.590480961923847580e+00,2.006033256723098646e+01
1.597094188376753543e+00,2.061931540813899844e+01
1.603707414829659506e+00,2.118749781515531794e+01
1.610320641282565024e+00,2.176494109233123808e+01
1.616933867735470987e+00,2.235170700736316718e+01
1.623547094188376949e+00,2.294785781081543874e+01
1.630160320641282468e+00,2.355345625526253173e+01
1.636773547094188430e+00,2.416856561433699113e+01
1.643386773547094393e+00,2.479324970166937447e+01
1.649999999999999911e+00,2.542757288970768670e+01
