x_nm,reference,fixed_mean,fixed_std,map_mean,map_std,hmc_mean,hmc_std
-1.407190635451504912e+00,9.823980929837423659e+00,7.183907648948661517e+00,8.574677044042301688e+00,9.669353488022927934e+00,3.382663901242903393e+00,9.689161233947412910e+00,3.762335426215385414e+00
-1.396153846153846079e+00,9.398124397378921913e+00,6.936707397338523151e+00,8.574550363888750582e+00,9.288052082367180162e+00,3.382245894214111370e+00,9.307702531595118955e+00,3.762090246364612867e+00
-1.385117056856187245e+00,8.988629966835496532e+00,6.694968244913980016e+00,8.574425701417505152e+00,8.921311118430317322e+00,3.381770400791429321e+00,8.939967254752728465e+00,3.761716251955062873e+00
-1.374080267558528412e+00,8.596700083629196243e+00,6.458737346878933749e+00,8.574303905126129166e+00,8.567579725040239680e+00,3.381246387856864821e+00,8.584496728271549415e+00,3.761223093215470215e+00
-1.363043478260869579e+00,8.220537842012960894e+00,6.228059451897024701e+00,8.574185428095850270e+00,8.225518858887248541e+00,3.380686071749209098e+00,8.240071602892625080e+00,3.760628529996189240e+00
-1.352006688963210523e+00,7.859441811962997626e+00,6.002976851922994683e+00,8.574067511520047091e+00,7.894021791205226179e+00,3.380104142158183222e+00,7.905725699318045585e+00,3.759956419640439140e+00
-1.340969899665551690e+00,7.514467269440171293e+00,5.783529333621572732e+00,8.573955312067042200e+00,7.572225986186502666e+00,3.379516745955748913e+00,7.580750645533576915e+00,3.759234291128892291e+00
-1.329933110367892857e+00,7.184017817147818619e+00,5.569754131157424126e+00,8.573844218904293157e+00,7.259516442410010484e+00,3.378940359742685917e+00,7.264691716711624281e+00,3.758490841825195883e+00
-1.318896321070234023e+00,6.867399673934200699e+00,5.361685880458026077e+00,8.573737524469077442e+00,6.955520805511348215e+00,3.378390680249419908e+00,6.957335525697355472e+00,3.757753650632175368e+00
-1.307859531772575190e+00,6.565534792650617568e+00,5.159356575229594455e+00,8.573633277120659812e+00,6.660096782843787366e+00,3.377881645540214972e+00,6.658690420646740549e+00,3.757047325916635039e+00
-1.296822742474916357e+00,6.277011546262207808e+00,4.962795524442981332e+00,8.573531880513357351e+00,6.373312592756228412e+00,3.377424671774125198e+00,6.368960619632240139e+00,3.756392214538885721e+00
-1.285785953177257523e+00,6.001149769047537497e+00,4.772029311585356481e+00,8.573434807230155386e+00,6.095421356984608963e+00,3.377028155337557180e+00,6.088515246174111439e+00,3.755803705604427556e+00
-1.274749163879598468e+00,5.738751593997462486e+00,4.587081755593771959e+00,8.573343520654567840e+00,5.826830489926827283e+00,3.376697253932659404e+00,5.817853522385417975e+00,3.755292082947114807e+00
-1.263712374581939635e+00,5.488574852396746806e+00,4.407973873671380716e+00,8.573251108705509438e+00,5.568067249673781305e+00,3.376433927753658359e+00,5.557567426918673448e+00,3.754862822741371176e+00
-1.252675585284280801e+00,5.249958168837961736e+00,4.234723845737107695e+00,8.573166874861076536e+00,5.319741690120785904e+00,3.376237196675430319e+00,5.308303133781114624e+00,3.754517201558749129e+00
-1.241638795986621968e+00,5.023596891893146399e+00,4.067346981014679841e+00,8.573085624033080165e+00,5.082508289873395313e+00,3.376103553807818791e+00,5.070722517271887497e+00,3.754253074568865145e+00
-1.230602006688963135e+00,4.808403524064152279e+00,3.905855686248969505e+00,8.573008781631195063e+00,4.857027531854633651e+00,3.376027470257657814e+00,4.845465940895854473e+00,3.754065699062946848e+00
-1.219565217391304301e+00,4.603739830544526512e+00,3.750259436117630685e+00,8.572933045211946990e+00,4.643928668342702792e+00,3.376001929619595554e+00,4.633117448203027067e+00,3.753948507755359820e+00
-1.208528428093645468e+00,4.410206827248104311e+00,3.600564745548126666e+00,8.572862892617742148e+00,4.443774831713817264e+00,3.376018941470908530e+00,4.434173345956487822e+00,3.753893771629555065e+00
-1.197491638795986635e+00,4.226857513892059437e+00,3.456775143983122689e+00,8.572798197201963788e+00,4.257031544382719801e+00,3.376069998219399793e+00,4.249015020240575424e+00,3.753893126210841036e+00
-1.186454849498327579e+00,4.053080304000878265e+00,3.318891151976913534e+00,8.572736459554509025e+00,4.084039546240056495e+00,3.376146456135086460e+00,4.077886659823017013e+00,3.753937962947135443e+00
-1.175418060200668746e+00,3.889393644102924430e+00,3.186910259654723632e+00,8.572680632815536939e+00,3.924992698957645132e+00,3.376239836398261307e+00,3.920878384102126191e+00,3.754019705662544837e+00
-1.164381270903009913e+00,3.734977546170856755e+00,3.060826907443242817e+00,8.572624489100306278e+00,3.779921549055067942e+00,3.376342053901787210e+00,3.777915091033918316e+00,3.754130000713923110e+00
-1.153344481605351080e+00,3.589249734786811530e+00,2.940632469043521269e+00,8.572576652720481860e+00,3.648682941343984965e+00,3.376445588631126427e+00,3.648751159002140199e+00,3.754260849589909466e+00
-1.142307692307692246e+00,3.452657070108245740e+00,2.826315236448408541e+00,8.572529155091617170e+00,3.530955877166483958e+00,3.376543616959153837e+00,3.532970960678595063e+00,3.754404707190074131e+00
-1.131270903010033413e+00,3.324493842435097601e+00,2.717860407456100802e+00,8.572489542782030014e+00,3.426243613712379954e+00,3.376630118380653744e+00,3.429994981010890953e+00,3.754554560838315513e+00
-1.120234113712374580e+00,3.204208918408745443e+00,2.615250075234143878e+00,8.572454604406999579e+00,3.333881807564146982e+00,3.376699968437225863e+00,3.339091179415348165e+00,3.754703996969002144e+00
-1.109197324414715524e+00,3.092187697507421174e+00,2.518463220315879880e+00,8.572420181297561115e+00,3.253052323015872105e+00,3.376749022291379632e+00,3.259391101219826226e+00,3.754847256430826619e+00
-1.098160535117056691e+00,2.987826812257522224e+00,2.427475704949756619e+00,8.572391825897845763e+00,3.182802158857519714e+00,3.376774187293795748e+00,3.189910127873634593e+00,3.754979276161732660e+00
-1.087123745819397858e+00,2.890607299501898986e+00,2.342260269721919030e+00,8.572364631405573476e+00,3.122066800753735549e+00,3.376773478087681912e+00,3.129571161212304276e+00,3.755095714800891660e+00
-1.076086956521739024e+00,2.800862305385630080e+00,2.262786532616246404e+00,8.572343752551793372e+00,3.069697183973339349e+00,3.376746045481395786e+00,3.077230965271322560e+00,3.755192961630994475e+00
-1.065050167224080191e+00,2.718079697162042674e+00,2.189020990469089156e+00,8.572325275298453562e+00,3.024489356122209927e+00,3.376692170504178581e+00,3.031708340310924399e+00,3.755268131019705802e+00
-1.054013377926421358e+00,2.641772951127479452e+00,2.120927022835985554e+00,8.572311637811223406e+00,2.985215863890225307e+00,3.376613217775254139e+00,2.991813277831772311e+00,3.755319047157764878e+00
-1.042976588628762524e+00,2.572231205095473872e+00,2.058464898254896980e+00,8.572301153499925164e+00,2.950657853009936105e+00,3.376511546697829935e+00,2.956376241920876780e+00,3.755344225435308214e+00
-1.031939799331103691e+00,2.509023296500639155e+00,2.001591783079220477e+00,8.572294881510881481e+00,2.919636866907431738e+00,3.376390384091125796e+00,2.924276740353825232e+00,3.755342856854955169e+00
-1.020903010033444636e+00,2.451694709704269393e+00,1.950261752619098843e+00,8.572293267576977627e+00,2.891045356478933570e+00,3.376253666560872002e+00,2.894470387217712215e+00,3.755314800438390499e+00
-1.009866220735785802e+00,2.400497830481392647e+00,1.904425804815673473e+00,8.572293531656578480e+00,2.863874969536304604e+00,3.376105864251258915e+00,2.866013715838180431e+00,3.755260585933702711e+00
-9.988294314381269690e-01,2.355073042821349105e+00,1.864031876488297712e+00,8.572296585395795532e+00,2.837241771535040868e+00,3.375951798860805653e+00,2.838086074667556247e+00,3.755181425824889008e+00
-9.877926421404681356e-01,2.314996778504939456e+00,1.829024861860489182e+00,8.572304063702997468e+00,2.810407656214913175e+00,3.375796467741733142e+00,2.810008027489040217e+00,3.755079232150775770e+00
-9.767558528428093023e-01,2.280490930356056545e+00,1.799346633803452278e+00,8.572312487174587048e+00,2.782797332154466119e+00,3.375644882793706891e+00,2.781255780585894399e+00,3.754956630514666660e+00
-9.657190635451504690e-01,2.251258828250780386e+00,1.774936067411999829e+00,8.572327087400424261e+00,2.754010414788574224e+00,3.375501928198390900e+00,2.751471271052583489e+00,3.754816961174666456e+00
-9.546822742474915247e-01,2.226906244556936088e+00,1.755729066097956093e+00,8.572343662588394864e+00,2.723828308664302256e+00,3.375372235954626543e+00,2.720467669658269472e+00,3.754664255633467729e+00
-9.436454849498326913e-01,2.207629850252431858e+00,1.741658590215138247e+00,8.572364302010633708e+00,2.692215726804157327e+00,3.375260073629358981e+00,2.688230175976260128e+00,3.754503176753958726e+00
-9.326086956521738580e-01,2.193188110378346600e+00,1.732654688191814785e+00,8.572386462311426314e+00,2.659316858099110448e+00,3.375169235698491921e+00,2.654912110126629088e+00,3.754338911595679118e+00
-9.215719063545149137e-01,2.183214077905802686e+00,1.728644530011024472e+00,8.572411847153951214e+00,2.625446354823104400e+00,3.375102929331160517e+00,2.620826431607696350e+00,3.754177008776038882e+00
-9.105351170568560804e-01,2.177883511516133908e+00,1.729552443290231167e+00,8.572438375547051237e+00,2.591075465910840592e+00,3.375063647425213365e+00,2.586432938441795670e+00,3.754023156797228200e+00
-8.994983277591972470e-01,2.177002943836851223e+00,1.735299951761135162e+00,8.572468404095941352e+00,2.556813783173986110e+00,3.375053026315121052e+00,2.552321516330708917e+00,3.753882906075668213e+00
-8.884615384615384137e-01,2.180230296351130637e+00,1.745805816132815380e+00,8.572500411013207255e+00,2.523387193162271558e+00,3.375071692139063995e+00,2.519191914849335134e+00,3.753761345432941265e+00
-8.774247491638794694e-01,2.187723806193684339e+00,1.760986077530560578e+00,8.572534868005499575e+00,2.491612733431871618e+00,3.375119107167921406e+00,2.487830623125685037e+00,3.753662752684741033e+00
-8.663879598662206361e-01,2.199331690163506714e+00,1.780754103195704374e+00,8.572573611024942863e+00,2.462371135735672567e+00,3.375193434400938663e+00,2.459085498357293176e+00,3.753590247708121552e+00
-8.553511705685618027e-01,2.214734080953002948e+00,1.805020634653828893e+00,8.572614809206163144e+00,2.436577897923477565e+00,3.375291443780940703e+00,2.433838864521353784e+00,3.753545483607242161e+00
-8.443143812709029694e-01,2.234074223980260232e+00,1.833693838183080516e+00,8.572656644621879707e+00,2.415153759736817562e+00,3.375408485625463140e+00,2.412979843698202842e+00,3.753528415471126589e+00
-8.332775919732440251e-01,2.257236251733726107e+00,1.866679357760858693e+00,8.572699068254978627e+00,2.398995464556229251e+00,3.375538555093888782e+00,2.397376706891632736e+00,3.753537185571469870e+00
-8.222408026755851917e-01,2.283919716039840342e+00,1.903880370084152673e+00,8.572743753283686985e+00,2.388947669655259176e+00,3.375674465732386942e+00,2.387850033925010607e+00,3.753568157278250439e+00
-8.112040133779263584e-01,2.314254611002035666e+00,1.945197642157381779e+00,8.572791705532566198e+00,2.385776822547846621e+00,3.375808140472468910e+00,2.385147452309000826e+00,3.753616117479127823e+00
-8.001672240802675251e-01,2.348155753954426217e+00,1.990529590921141789e+00,8.572840567624110619e+00,2.390147752216442711e+00,3.375931015951500580e+00,2.389920682912530125e+00,3.753674649538635943e+00
-7.891304347826085808e-01,2.385339300578261490e+00,2.039772345187429892e+00,8.572890959843928016e+00,2.402603633744313072e+00,3.376034542048075071e+00,2.402705556490879246e+00,3.753736657533595533e+00
-7.780936454849497474e-01,2.425923027960774192e+00,2.092819809740831261e+00,8.572942045292601065e+00,2.423549876009211346e+00,3.376110744854430301e+00,2.423905580975867835e+00,3.753795000651521274e+00
-7.670568561872909141e-01,2.469847662111210873e+00,2.149563731662055943e+00,8.572996134643354083e+00,2.453242358153097769e+00,3.376152809810774258e+00,2.453779536947829243e+00,3.753843177288263000e+00
-7.560200668896319698e-01,2.516843234311176403e+00,2.209893768571419059e+00,8.573051509952394511e+00,2.491780305309269750e+00,3.376155634203592548e+00,2.492433460566003234e+00,3.753875984977784963e+00
-7.449832775919731365e-01,2.567015725975117846e+00,2.273697559191532491e+00,8.573107235714866547e+00,2.539103951741530807e+00,3.376116295732941808e+00,2.539817242726025270e+00,3.753890077761094624e+00
-7.339464882943143031e-01,2.620327364195017772e+00,2.340860795682601747e+00,8.573165564392903448e+00,2.594996994404816348e+00,3.376034387559502470e+00,2.595725934143050750e+00,3.753884348370105428e+00
-7.229096989966554698e-01,2.676519521041388128e+00,2.411267298195525655e+00,8.573221560749141545e+00,2.659093696378405980e+00,3.375912179552471137e+00,2.659805702641174108e+00,3.753860079163806152e+00
-7.118729096989965255e-01,2.735686291424171301e+00,2.484799091194872744e+00,8.573283377874417965e+00,2.730890361869107608e+00,3.375754580167853458e+00,2.731564245666445956e+00,3.753820831450056517e+00
-7.008361204013376922e-01,2.797807277901757761e+00,2.561336481560829270e+00,8.573340653847175474e+00,2.809760776632039381e+00,3.375568891796425941e+00,2.810385322555410070e+00,3.753772074549612370e+00
-6.897993311036788588e-01,2.862632952152161181e+00,2.640758138972159941e+00,8.573400525696900587e+00,2.894975093406451094e+00,3.375364372466975293e+00,2.895546941985166711e+00,3.753720589630232585e+00
-6.787625418060200255e-01,2.930245025656920799e+00,2.722941177392385725e+00,8.573463130083206707e+00,2.985721544609926781e+00,3.375151636551962042e+00,2.986242624701766601e+00,3.753673713845879778e+00
-6.677257525083610812e-01,3.000636548332488829e+00,2.807761238928833336e+00,8.573523768847579163e+00,3.081130286821347042e+00,3.374941943920115150e+00,3.081605064095677804e+00,3.753638513322421932e+00
-6.566889632107022479e-01,3.073565235550611341e+00,2.895092578886760748e+00,8.573585608162513694e+00,3.180298625644713439e+00,3.374746439017730637e+00,3.180731430980340946e+00,3.753620984979997299e+00
-6.456521739130434145e-01,3.149099621320807341e+00,2.984808152705227258e+00,8.573648460402658600e+00,3.282316836830927897e+00,3.374575407035002694e+00,3.282709516835369712e+00,3.753625385379637525e+00
-6.346153846153845812e-01,3.227242392575816687e+00,3.076779704290856898e+00,8.573711887386366470e+00,3.386293790826339745e+00,3.374437612759280114e+00,3.386643883848977410e+00,3.753653769286430020e+00
-6.235785953177256369e-01,3.307757118657851159e+00,3.170877855821345292e+00,8.573772406969871085e+00,3.491381603188841609e+00,3.374339779086701796e+00,3.491681191440299870e+00,3.753705793708696614e+00
-6.125418060200668036e-01,3.390698174356194805e+00,3.266972199175143032e+00,8.573837502222108498e+00,3.596798571893678798e+00,3.374286247343636358e+00,3.597033897752931253e+00,3.753778808448936744e+00
-6.015050167224079702e-01,3.476074118509748345e+00,3.364931388379773125e+00,8.573901465248413345e+00,3.701849723034399631e+00,3.374278842130533640e+00,3.702001590050086222e+00,3.753868216740295249e+00
-5.904682274247490259e-01,3.563653519141711801e+00,3.464623233667225577e+00,8.573962199386171434e+00,3.805944366738692963e+00,3.374316941885992183e+00,3.805989278245739627e+00,3.753968054726745329e+00
-5.794314381270901926e-01,3.653475529798334343e+00,3.565914796476135962e+00,8.574027401977675211e+00,3.908610162670534294e+00,3.374397734982938157e+00,3.908522088253276294e+00,3.754071711265314804e+00
-5.683946488294313593e-01,3.745550798322197394e+00,3.668672485827300989e+00,8.574087911757864333e+00,4.009503306113366250e+00,3.374516622748891415e+00,4.009255912908727737e+00,3.754172693533477823e+00
-5.573578595317725259e-01,3.839652624405322179e+00,3.772762155607779277e+00,8.574151480896262001e+00,4.108414567820737773e+00,3.374667717244972831e+00,4.107983713697381134e+00,3.754265341060496031e+00
-5.463210702341135816e-01,3.935803901140936034e+00,3.878049202961847186e+00,8.574213893078912463e+00,4.205271049787292270e+00,3.374844374743803499e+00,4.204637311616714612e+00,3.754345401011152994e+00
-5.352842809364547483e-01,4.034013513238308590e+00,3.984398667473215028e+00,8.574275101337104132e+00,4.300133650817222986e+00,3.375039706002384676e+00,4.299284655120207077e+00,3.754410398836712570e+00
-5.242474916387959150e-01,4.134059851330625257e+00,4.091675331416809058e+00,8.574337892229451086e+00,4.393190366290134818e+00,3.375247011730340585e+00,4.392122701928306228e+00,3.754459767364549005e+00
-5.132107023411370816e-01,4.235948628168340946e+00,4.199743820541698369e+00,8.574397945541877064e+00,4.484745671860473237e+00,3.375460104779313575e+00,4.483466194320104847e+00,3.754494729633669703e+00
-5.021739130434781373e-01,4.339683005879619415e+00,4.308468705732593662e+00,8.574459165324151755e+00,4.575206357271632385e+00,3.375673497887521357e+00,4.573732739360412580e+00,3.754517961976775897e+00
-4.911371237458193040e-01,4.445047472647647879e+00,4.417714605185210530e+00,8.574517713611879088e+00,4.665064280595650814e+00,3.375882454902864094e+00,4.663424721830466524e+00,3.754533089934388279e+00
-4.801003344481604707e-01,4.552029848167289394e+00,4.527346287228283472e+00,8.574577227527191425e+00,4.754876601987966467e+00,3.376082921903599932e+00,4.753108674505803322e+00,3.754544087725898205e+00
-4.690635451505015818e-01,4.660623481967301807e+00,4.637228773361130152e+00,8.574634945943747866e+00,4.845244126999538992e+00,3.376271370107232439e+00,4.843392804734172330e+00,3.754554660452261938e+00
-4.580267558528427485e-01,4.770620617049021739e+00,4.747227442077928572e+00,8.574691464325251644e+00,4.936788440656407317e+00,3.376444592988192550e+00,4.934903425743835115e+00,3.754567686891081557e+00
-4.469899665551838597e-01,4.881990751860698197e+00,4.857208132521918742e+00,8.574748393504814103e+00,5.030128543572054411e+00,3.376599504488027925e+00,5.028261064493594112e+00,3.754584790321751075e+00
-4.359531772575250264e-01,4.994713195377975978e+00,4.967037248739870847e+00,8.574804122100410098e+00,5.125857709658156125e+00,3.376732982883275280e+00,5.124057014859148218e+00,3.754606087519755775e+00
-4.249163879598661375e-01,5.108590238533221140e+00,5.076581863784667803e+00,8.574859812958623095e+00,5.224521271529788180e+00,3.376841796556584452e+00,5.222831076251710059e+00,3.754630143877430548e+00
-4.138795986622072487e-01,5.223572980078530215e+00,5.185709824039804516e+00,8.574913063147564074e+00,5.326596005113167109e+00,3.376922634458072725e+00,5.325051165024907718e+00,3.754654138569797794e+00
-4.028428093645484154e-01,5.339622331752417850e+00,5.294289853388363554e+00,8.574965901860011286e+00,5.432471730546062361e+00,3.376972247605364075e+00,5.431095411734049527e+00,3.754674219863578521e+00
-3.918060200668895265e-01,5.456553528394550767e+00,5.402191657331059105e+00,8.575017217540267467e+00,5.542435674065693263e+00,3.376987690547349708e+00,5.541237264691263320e+00,3.754686009594345730e+00
-3.807692307692306932e-01,5.574299592114637214e+00,5.509286026868721819e+00,8.575069043824422366e+00,5.656660047573346617e+00,3.376966635835004560e+00,5.655634013084755551e+00,3.754685199114075722e+00
-3.697324414715718044e-01,5.692798578025635159e+00,5.615444942020985764e+00,8.575117247555775535e+00,5.775193201761901207e+00,3.376907722114911081e+00,5.774319025392760985e+00,3.754668168123670213e+00
-3.586956521739129711e-01,5.811882112921145094e+00,5.720541675062122522e+00,8.575165565187473860e+00,5.897954598232040269e+00,3.376810889283730965e+00,5.897197875307745640e+00,3.754632553771319436e+00
-3.476588628762540822e-01,5.931465904103959907e+00,5.824450893291214015e+00,8.575213214297711772e+00,6.024733729298468177e+00,3.376677652943848251e+00,6.024048402322509155e+00,3.754577700675381990e+00
-3.366220735785952489e-01,6.051460630630245419e+00,5.927048761044716230e+00,8.575259404354643067e+00,6.155192994736971457e+00,3.376511275505415188e+00,6.154524631775466936e+00,3.754504933377065257e+00
-3.255852842809363601e-01,6.171718243497013034e+00,6.028213041328854160e+00,8.575301497715322796e+00,6.288874426112776916e+00,3.376316801815836932e+00,6.288164363474791685e+00,3.754417610350598622e+00
-3.145484949832775268e-01,6.292138357914108582e+00,6.127823196613462642e+00,8.575347417759138224e+00,6.425210035046283963e+00,3.376100941998863902e+00,6.424400132499320293e+00,3.754320942049630183e+00
-3.035117056856186379e-01,6.412599756081594826e+00,6.225760488694504602e+00,8.575387834030285816e+00,6.563535455159801302e+00,3.375871801182370735e+00,6.562573153353642219e+00,3.754221582327874618e+00
-2.924749163879598046e-01,6.532979045819224062e+00,6.321908077843545470e+00,8.575427937136252510e+00,6.703106451539888155e+00,3.375638473054095812e+00,6.701949781612095869e+00,3.754127030126202857e+00
-2.814381270903009158e-01,6.653161440393592585e+00,6.416151120854920009e+00,8.575468967744983573e+00,6.843117789080672253e+00,3.375410529453137798e+00,6.841739967119123023e+00,3.754044903306796410e+00
-2.704013377926420825e-01,6.772989376617878143e+00,6.508376868070627097e+00,8.575506459303280593e+00,6.982723884311091922e+00,3.375197449761973889e+00,6.981117130625701606e+00,3.753982165298355600e+00
-2.593645484949831936e-01,6.892368753788190361e+00,6.598474759150121827e+00,8.575542331075034497e+00,7.121060616067943272e+00,3.375008040361439754e+00,7.119238871658309264e+00,3.753944394771027593e+00
-2.483277591973243326e-01,7.011172531819031661e+00,6.686336517766903853e+00,8.575576253006277128e+00,7.257267639945489179e+00,3.374849895219975693e+00,7.255267909056954956e+00,3.753935186739457475e+00
-2.372909698996654715e-01,7.129202513011882125e+00,6.771856244795344537e+00,8.575608332264522460e+00,7.390510540542770457e+00,3.374728943911466938e+00,7.388392666059037772e+00,3.753955759593301078e+00
-2.262541806020066104e-01,7.246398713780009437e+00,6.854930510193298687e+00,8.575640975595561599e+00,7.520002164307918235e+00,3.374649123719986488e+00,7.517846937677793662e+00,3.754004817840587815e+00
-2.152173913043477493e-01,7.362624423505330640e+00,6.935458443438619724e+00,8.575671952303396850e+00,7.645022503852821671e+00,3.374612199387974076e+00,7.642928117739503868e+00,3.754078687784496271e+00
-2.041806020066888883e-01,7.477636779054558147e+00,7.013341822183065233e+00,8.575699907684443346e+00,7.764936551018244870e+00,3.374617739229972546e+00,7.763013514373332313e+00,3.754171707505019828e+00
-1.931438127090300272e-01,7.591414808914442425e+00,7.088485159496485721e+00,8.575725776441245785e+00,7.879209599228822469e+00,3.374663241467285246e+00,7.877574343950334068e+00,3.754276818724337161e+00
-1.821070234113711661e-01,7.703815110218251050e+00,7.160795789281110046e+00,8.575751673711463852e+00,7.987419553904707925e+00,3.374744391723345061e+00,7.986187062383942603e+00,3.754386281864726005e+00
-1.710702341137123050e-01,7.814546489944926400e+00,7.230183949766797014e+00,8.575776391618795458e+00,8.089265900489287731e+00,3.374855422635913094e+00,8.088541767308399244e+00,3.754492420940767961e+00
-1.600334448160534440e-01,7.923631822973754346e+00,7.296562865269152098e+00,8.575798474542438043e+00,8.184575080358335697e+00,3.374989540767530549e+00,8.184447483051540573e+00,3.754588304649346675e+00
-1.489966555183945829e-01,8.030924335610896136e+00,7.359848825948574813e+00,8.575819395969563885e+00,8.273302132534290365e+00,3.375139384299835399e+00,8.273834220755183821e+00,3.754668284024225589e+00
-1.379598662207356941e-01,8.136081322222166179e+00,7.419961265435631503e+00,8.575836346293932877e+00,8.355528570578421466e+00,3.375297477341761887e+00,8.356751786887105737e+00,3.754728333067447910e+00
-1.269230769230768330e-01,8.239174142082788421e+00,7.476822836435530917e+00,8.575857070431968765e+00,8.431456576048667273e+00,3.375456652095842891e+00,8.433365393304354640e+00,3.754766172374027988e+00
-1.158862876254179858e-01,8.340056250625943690e+00,7.530359484160726424e+00,8.575869927524006897e+00,8.501399699226389828e+00,3.375610417455168211e+00,8.503948199684277398e+00,3.754781191175004196e+00
-1.048494983277591108e-01,8.438330848126703643e+00,7.580500517346081324e+00,8.575885736283886729e+00,8.565770361269237299e+00,3.375753260731556349e+00,8.568870993363089994e+00,3.754774214212953876e+00
-9.381270903010024975e-02,8.534122081257816461e+00,7.627178677139454521e+00,8.575896648154058610e+00,8.625064546486321149e+00,3.375880876648478246e+00,8.628589281296706659e+00,3.754747181279399104e+00
-8.277591973244138868e-02,8.627287437735706277e+00,7.670330203511184664e+00,8.575906836501296482e+00,8.679844156366407049e+00,3.375990323822839478e+00,8.683628132919645637e+00,3.754702815439546093e+00
